adm0,country,adm1,province,cases,outbreaks,cas.or.out,lon,lat,altitude,pop.tot,logpop,LC0,LC1,LC2,LC3,LC4,LC5,LC6,LC7,LC8,LC9,LC10,LC11,LC12,LC13,LC14,LC15,LC16,EVI.mean,adm0_adm1,surv.qual.adm0
SOM,Somalia,17,Togdheer,0,0,0,45.5087311,9.256432628,999.4578622,587738,5.769183771,0,0,0,0,0,9.46E-05,0.02787994,0.878128688,0.000344626,0.000261781,0.000911944,0,0,0.007980885,0,0,0.084397436,0.113575653,SOM_17,0
SOM,Somalia,18,Woqooyi Galbeed,0,0,0,44.03427873,9.631094424,1245.866242,712713,5.85291468,0.00096316,0,0,0,0,0,0.003268408,0.918263657,8.30E-05,0.000885359,0.01045756,0,0.003732899,0.011283217,0,0,0.051062558,0.123139114,SOM_18,0
SSD,South Sudan,1,Bahr el Ghazal,0,0,0,28.48808257,8.075611146,437.8708525,3113742,6.493282625,0.001026435,0.00026345,0.004337816,7.95E-05,0.01881064,0.007453255,0.004230711,0.028814249,0.256567753,0.505190888,0.09529029,0.014341217,0.022099221,0.011948039,5.28E-05,0,0.029493717,0.270948022,SSD_1,0
SSD,South Sudan,2,Equatoria,0,1,1,31.37025869,4.677705047,728.6371485,3057683,6.485392459,0.006240881,8.46E-05,0.003866502,6.07E-06,0.001904722,0.000627131,0.013111573,0.030519331,0.398265219,0.451429618,0.071507311,0.00133147,0.006641083,0.00787096,0.000313653,0,0.006279837,0.329068652,SSD_2,0
SSD,South Sudan,3,Upper Nile,0,0,0,31.84604882,8.55984514,381.2661839,3337723,6.523450291,0.003392296,0.000962589,0.004989239,0.000221662,0.007677676,0.010857029,0.006871442,0.028817878,0.141796628,0.608160637,0.092612517,0.018370825,0.061816282,2.93E-05,0.000279254,0,0.013144667,0.255968473,SSD_3,0
SWZ,Swaziland,1,Hhohho,0,0,0,31.3086945,-26.13860402,862.4515396,356064,5.551528066,0,0.000871969,0.041462225,0,0.034022195,0.00776638,0.006308907,0.026269672,0.121061768,0.432886849,0.017168008,0.000754715,0.098874799,0.0805056,0.13204688,0,0,0.327348944,SWZ_1,NA
SWZ,Swaziland,2,Lubombo,0,0,0,31.8114152,-26.53134907,281.2936405,304883,5.484133209,0.003009845,0.00140147,0.010043568,0,0.050347667,0.000392917,0.005534468,0.081524974,0.252137581,0.395544123,0.015752395,0.000372202,0.14837468,0,0.033122128,0,0.002441885,0.304513766,SWZ_2,NA
SWZ,Swaziland,3,Manzini,0,0,0,31.33976359,-26.50451064,682.2905016,403867,5.606238368,0.002080002,0.00146717,0.027298361,0,0.02949746,0.000342678,0.003487709,0.015238979,0.104642517,0.357549715,0.010663699,0.002298999,0.212563256,0.091850968,0.141018276,0,0,0.316463751,SWZ_3,NA
SWZ,Swaziland,4,Shiselweni,0,0,0,31.40492769,-27.08547034,725.5529964,300709,5.478146426,0.001456559,0.000291311,0.033090673,0,0.047090683,0.000291311,0.003889278,0.078441324,0.22657809,0.408980242,0.016476757,0.000873934,0.09205421,0,0.089946132,0,0.00053965,0.293364721,SWZ_4,NA
TCD,Chad,1,Batha,0,0,0,18.75370447,13.6565011,334.8672924,510114,5.707667243,0.000940541,1.20E-05,4.41E-05,0,8.69E-05,2.79E-05,0.000705203,0.137787037,0.002264378,0.029254263,0.688832504,5.36E-05,0.024093356,9.61E-05,8.10E-05,0,0.115721246,0.164918021,TCD_1,0.440732202
TCD,Chad,2,Bet,0,0,0,20.48779659,17.2866152,556.0104064,281364,5.449268529,0.000661137,0,0,0,0,0,0.000744851,0.028026975,0,0,0.00289779,0,0,0,0,0,0.967669231,0.088280718,TCD_2,0.440732202
TCD,Chad,3,Chari-Baguirmi,0,0,0,16.44742599,11.11727748,312.0988624,415072,5.618123438,0.00823578,0,0.000570404,0,0.033157356,0.006265527,0.001166892,0.068720027,0.061884941,0.286818688,0.250960121,0,0.190516241,0.000176462,0.000115428,0,0.091412146,0.256686167,TCD_3,0.440732202
TCD,Chad,4,Guéra,0,0,0,18.64621547,11.71004165,448.4536302,521438,5.717202677,0,0,0.000635675,0,0.02121559,0.001414279,0.001545418,0.117598883,0.049333645,0.371438404,0.225197082,0,0.157077596,0.000748571,0.000176437,0,0.053618405,0.233319278,TCD_4,0.440732202
TCD,Chad,5,Hadjer-Lamis,0,0,0,16.04048355,12.57261056,292.8432816,533881,5.727444465,0.016160824,0,0,0,0.000216793,0,0.000589541,0.049806356,0.006019524,0.049613446,0.786983409,0,0.06954082,0.000191054,0,0,0.020878207,0.209765314,TCD_5,0.440732202
